Time,Solar Power (MW),Diesel Generator Power (MW),Battery Power (MW),Wind Power (MW),Load Profile (MW),Output power (MW),Output power (Sources)
0.0,-0.481781388460402,-13.622403738987,1,-9.67248799815796,0.9,1.0,Battery
3.15544362088405e-30,-0.481781388460402,-13.622403738987,1,-9.67248799815796,0.9,1.0,Battery
6.15513632573323e-08,-0.474033772145515,-13.8934887994083,1,-9.51680525263543,0.9,1.0,Battery
1.84654089771997e-07,-0.458888527155556,-14.4135240172643,1,-9.21248241410092,0.9,1.0,Battery
3.07756816286661e-07,-0.444237438505737,-14.9006116784927,1,-8.91809682683814,0.9,1.0,Battery
4.62778950569565e-07,-0.42646526770959,-15.4690308098655,1,-8.56100985799731,0.9,1.0,Battery
1.13750992303402e-06,-0.357212013914827,-17.4157220819769,1,-7.1696711997196,0.9,1.0,Battery
1.81224089549848e-06,-0.299412968948177,-18.626697688853,1,-6.00862035235959,0.9,1.0,Battery
2.48697186796294e-06,-0.251135313763771,-19.2493434049453,1,-5.03896949539085,0.9,1.0,Battery
3.1617028404274e-06,-0.210774617391685,-19.4069389201171,1,-4.22844280749983,0.9,1.0,Battery
3.83643381289185e-06,-0.176999756456266,-19.2022663732197,1,-3.55026662938644,0.9,1.0,Battery
4.51116478535631e-06,-0.148706803915086,-18.7206964939104,1,-2.9822404765259,0.9,1.0,Battery
5.18589575782077e-06,-0.124980480166926,-18.0328276350221,1,-2.5059605151858,0.9,1.0,Battery
5.86062673028523e-06,-0.105061973888478,-17.1967419754366,1,-2.10617144058474,0.9,1.0,Battery
6.53535770274968e-06,-0.0883221213662889,-16.2599338495457,1,-1.77022635890807,0.9,1.0,Battery
7.21008867521414e-06,-0.0742390871618444,-15.2609572331391,1,-1.48763738497487,0.9,1.0,Battery
7.8848196476786e-06,-0.0623798199988667,-14.2308326595191,1,-1.24970231232162,0.9,1.0,Battery
8.55955062014306e-06,-0.0523846693716606,-13.1942480686739,1,-1.04919496471953,0.9,1.0,Battery
9.23428159260752e-06,-0.0439546434876474,-12.1705831546547,1,-0.880108757261142,0.9,1.0,Battery
9.90901256507198e-06,-0.0368408702246801,-11.1747825466128,1,-0.737444630651099,0.9,1.0,Battery
1.05837435375364e-05,-0.0308358918536857,-10.2180995330506,1,-0.617035915638303,0.9,1.0,Battery
1.12584745100009e-05,-0.0257664830772707,-9.30872892937946,1,-0.515403870539125,0.9,1.0,Battery
1.19332054824654e-05,-0.0214877319308271,-8.45234502216253,1,-0.429638643131523,0.9,1.0,Battery
1.26079364549298e-05,-0.0178781655355191,-7.6525582369013,1,-0.357301264113189,0.9,1.0,Battery
1.34321847363162e-05,-0.0142295808449135,-6.75482217675767,1,-0.284199936746941,0.9,1.0,Battery
1.42564330177025e-05,-0.0112741340704645,-5.94518426613935,1,-0.225004006797439,0.9,1.0,Battery
1.50806812990889e-05,-0.0088866813201797,-5.22224356304827,1,-0.17720140870213,0.9,1.0,Battery
1.59049295804753e-05,-0.0069651007151562,-4.58292051434836,1,-0.138742337980883,0.9,1.0,Battery
